n_personas,persona,role,word,weight
15,0,agent,crying,0.0094206305
15,1,agent,respond,0.0031349482
15,2,agent,forgot,0.031355236
15,3,agent,worry,0.00062068226
15,4,agent,cry,0.006026262
15,6,agent,show,0.05306608
15,6,agent,walking,0.02529898
15,6,agent,grab,0.011638799
15,6,agent,shake,0.00031991425
15,7,agent,start,0.045789104
15,7,agent,leaving,0.008932522
15,7,agent,die,0.0022918195
15,9,agent,seem,0.013167019
15,9,agent,burst,0.0018758667
15,10,agent,guess,0.0060700644
15,11,agent,making,0.0059583085
15,13,agent,promise,0.007602302
15,14,agent,lean,0.015957326
15,14,agent,lie,0.003768587
15,0,patient,draw,0.021474453
15,0,patient,felt,0.010752296
15,0,patient,walk,0.010147853
15,1,patient,press,0.019996267
15,1,patient,marrying,0.01818419
15,1,patient,missing,0.011965879
15,2,patient,use,0.014758054
15,3,patient,urge,0.009060633
15,3,patient,affect,0.008789561
15,4,patient,bite,0.01662699
15,4,patient,thinking,0.014133814
15,4,patient,pacify,0.009019729
15,6,patient,dump,0.020061364
15,9,patient,fight,0.011780052
15,9,patient,abandon,0.01099323
15,9,patient,congratulate,0.010933969
15,9,patient,scare,0.010309964
15,9,patient,rouse,0.0072152866
15,10,patient,involve,0.020845452
15,10,patient,buy,0.01759399
15,11,patient,ﬁnd,0.013363931
15,11,patient,enter,0.013282124
15,11,patient,steady,0.01140864
15,12,patient,silence,0.0116247265
15,12,patient,embrace,0.008597503
15,13,patient,adopt,0.011327591
15,0,possessive,anger,0.070422366
15,0,possessive,fate,0.0693271
15,1,possessive,self,0.087058835
15,1,possessive,story,0.060631886
15,3,possessive,abdomen,0.051110785
15,5,possessive,position,0.08034182
15,5,possessive,best,0.062806495
15,5,possessive,breathing,0.05757789
15,6,possessive,will,0.08086249
15,6,possessive,jaw,0.05090302
15,7,possessive,status,0.06612229
15,8,possessive,bowl,0.041258585
15,8,possessive,reflection,0.040983144
15,10,possessive,murder,0.08899436
15,10,possessive,breast,0.052107852
15,11,possessive,letter,0.07619546
15,11,possessive,plan,0.05039786
15,13,possessive,plate,0.046231493
15,13,possessive,suitcase,0.042461153
15,13,possessive,boyfriend,0.036070127
15,0,predicative,fit,0.001838245
15,1,predicative,precious,0.008961967
15,1,predicative,giddy,0.004124734
15,1,predicative,target,0.0039960817
15,3,predicative,home,0.0004480723
15,4,predicative,direct,0.00054154487
15,5,predicative,worry,0.0039927484
15,6,predicative,sort,0.004578489
15,6,predicative,headmistress,0.0040132506
15,8,predicative,much,0.0036780138
15,8,predicative,hard,0.0029529955
15,9,predicative,senior,0.012044245
15,11,predicative,failure,0.018252214
