n_personas,persona,role,rank,word,weight
5,0,agent,1,said,1.4483182430267334
5,0,agent,2,had,0.9742327928543091
5,0,agent,3,looked,0.9193468689918518
5,0,agent,4,asked,0.8978388905525208
5,0,agent,5,know,0.8945723176002502
5,0,agent,6,have,0.866653561592102
5,0,agent,7,felt,0.8549892902374268
5,0,agent,8,thought,0.8119497895240784
5,0,agent,9,wanted,0.8005638122558594
5,0,agent,10,saw,0.7612196803092957
5,0,agent,11,see,0.7510961294174194
5,0,agent,12,want,0.7236242294311523
5,0,agent,13,think,0.7060787081718445
5,0,agent,14,sat,0.6783689856529236
5,0,agent,15,say,0.658950686454773
5,0,agent,16,feel,0.6319981217384338
5,0,agent,17,came,0.6298897862434387
5,0,agent,18,do,0.5967406630516052
5,0,agent,19,go,0.591126561164856
5,0,agent,20,stood,0.5551379323005676
5,0,agent,21,got,0.5524303913116455
5,0,agent,22,put,0.5497691035270691
5,0,agent,23,going,0.5491952300071716
5,0,agent,24,come,0.5447467565536499
5,0,agent,25,tell,0.5422902703285217
5,0,agent,26,left,0.5419798493385315
5,0,agent,27,get,0.48472458124160767
5,0,agent,28,let,0.45327991247177124
5,0,agent,29,like,0.42896798253059387
5,0,agent,30,take,0.4248002767562866
5,0,agent,31,remember,0.42349153757095337
5,0,agent,32,look,0.4138396084308624
5,0,agent,33,hear,0.39315298199653625
5,0,agent,34,understand,0.3734797239303589
5,0,agent,35,need,0.37347760796546936
5,0,agent,36,help,0.3695278465747833
5,0,agent,37,read,0.33194059133529663
5,0,agent,38,make,0.32425621151924133
5,0,agent,39,find,0.3157660663127899
5,0,agent,40,ask,0.29188504815101624
5,0,agent,41,spoke,0.2858082354068756
5,0,agent,42,mean,0.27313777804374695
5,0,agent,43,love,0.26064255833625793
5,0,agent,44,try,0.2548973262310028
5,0,agent,45,become,0.244359090924263
5,0,agent,46,leave,0.2375824898481369
5,0,agent,47,arrived,0.23716741800308228
5,0,agent,48,give,0.230133518576622
5,0,agent,49,gone,0.21723805367946625
5,0,agent,50,believe,0.20781712234020233
5,0,patient,1,tell,1.0356463193893433
5,0,patient,2,see,0.9685495495796204
5,0,patient,3,asked,0.8729211688041687
5,0,patient,4,take,0.784376323223114
5,0,patient,5,saw,0.7149021625518799
5,0,patient,6,help,0.6626560091972351
5,0,patient,7,ask,0.6486616134643555
5,0,patient,8,left,0.6433993577957153
5,0,patient,9,find,0.6350077390670776
5,0,patient,10,thank,0.6104145646095276
5,0,patient,11,put,0.6100533604621887
5,0,patient,12,love,0.60941082239151
5,0,patient,13,keep,0.6043611764907837
5,0,patient,14,get,0.573519229888916
5,0,patient,15,know,0.5714015364646912
5,0,patient,16,call,0.5232380032539368
5,0,patient,17,watching,0.4932602643966675
5,0,patient,18,meet,0.4662880003452301
5,0,patient,19,bring,0.46569445729255676
5,0,patient,20,hurt,0.4513656497001648
5,0,patient,21,asking,0.4440939724445343
5,0,patient,22,stop,0.4327070713043213
5,0,patient,23,gone,0.4109109938144684
5,0,patient,24,leave,0.4079922139644623
5,0,patient,25,married,0.3929175138473511
5,0,patient,26,kiss,0.33759039640426636
5,0,patient,27,leaving,0.3271389305591583
5,0,patient,28,remind,0.293320894241333
5,0,patient,29,kill,0.2889658510684967
5,0,patient,30,touch,0.2863588333129883
5,0,patient,31,let,0.28553518652915955
5,0,patient,32,believe,0.28287243843078613
5,0,patient,33,visit,0.2811851501464844
5,0,patient,34,teach,0.26643240451812744
5,0,patient,35,show,0.2548515200614929
5,0,patient,36,pull,0.25457602739334106
5,0,patient,37,give,0.2379063367843628
5,0,patient,38,forgive,0.2378358542919159
5,0,patient,39,hold,0.23419174551963806
5,0,patient,40,like,0.22645017504692078
5,0,patient,41,force,0.21917112171649933
5,0,patient,42,got,0.2131669819355011
5,0,patient,43,send,0.2016584277153015
5,0,patient,44,protect,0.2009831815958023
5,0,patient,45,join,0.1996934413909912
5,0,patient,46,hear,0.19410496950149536
