author,book,char_id,role,word,count
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,spent,12
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ﬁnished,10
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,saw,114
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,noticed,10
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stood,35
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,tried,57
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,had,61
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,carried,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sat,49
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,opened,21
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,took,54
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,thought,145
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,do,29
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,began,20
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,know,70
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,say,15
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,come,13
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,asked,36
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,told,24
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,have,35
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,trying,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,live,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,worry,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,kept,10
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,lived,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,knew,116
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wrote,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,tell,13
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,talk,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,explained,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,want,33
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,depending,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,loved,26
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,start,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,made,21
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,begin,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,number,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,squandered,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,betrayed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,lied,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,enumerate,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hurt,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,done,12
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,left,14
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,lost,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,guess,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,did,35
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,arrived,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,forgotten,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,looked,101
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,felt,96
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,seemed,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,worked,11
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,read,36
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,put,28
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,map,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,found,70
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,remembered,28
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,flipped,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,held,35
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,reread,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,imagined,16
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,smelled,8
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,understood,29
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wanted,91
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wore,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,get,12
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,heard,82
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,turned,20
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,repeat,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,lulled,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,feel,32
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,learned,25
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,moved,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,started,36
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,going,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,swallowed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,said,162
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,see,49
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,leaned,12
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,voiced,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,breathed,14
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,walked,23
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,came,20
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,went,46
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,watched,32
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,listened,13
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,love,11
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,cared,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,remember,19
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,liked,19
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hurried,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,got,25
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,smiled,13
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stared,42
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,spotted,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pointed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,understand,13
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,continue,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,savored,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,concentrated,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ran,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,coolies,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,played,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,grew,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,draw,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,try,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,picking,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,learn,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,show,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,nodding,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hated,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,covered,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,picked,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,set,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,explored,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,glanced,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,recognize,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,guessed,14
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,crawled,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,dragged,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,struggled,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,jump,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,seen,18
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,staring,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,recognized,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,give,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,nodded,44
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,admired,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sounded,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stooped,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,folded,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,slipped,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,considered,16
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,decided,10
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,like,16
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,added,9
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,corned,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,gripped,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,licked,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stung,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,offered,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,associated,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,think,38
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,puzzled,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,let,21
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,make,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,talking,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,meant,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ﬁgure,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wonder,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,dealing,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,keep,9
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sell,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,breaking,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,shook,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stopped,12
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,gave,10
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,doubted,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wander,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,dragging,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,called,14
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sit,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,backed,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,whispered,19
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stepped,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wiped,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hoped,14
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,name,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,believed,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,touch,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,leave,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,rubbed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,lay,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,crying,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,repeated,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,saying,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sipped,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,fell,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,broke,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,tasted,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,rose,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,drank,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,touched,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,harm,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,woke,15
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,realized,21
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stay,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,dropped,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,settled,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,smoothed,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pinched,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,making,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,doing,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wondered,20
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,arrange,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ate,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stayed,11
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,notice,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,jumped,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,reached,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,expected,15
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,caught,9
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ordered,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,fallen,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,checked,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,taking,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,go,12
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,brought,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pushed,8
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,unfolded,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,refolded,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pulled,11
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,reach,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,latched,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,closed,17
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,committed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,thinking,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,followed,12
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,prayed,8
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,bring,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,caused,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stole,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,knocked,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,shudder,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,focused,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,waiting,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,having,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,waited,10
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,seeing,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,clinging,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,coveted,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,smell,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pretended,8
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sleeping,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wished,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,climbed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,look,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,prompted,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,suppose,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,managed,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,crept,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hear,15
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,inched,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,risked,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,leaving,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,forced,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,studying,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,missing,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,practiced,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,gone,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stand,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,worried,9
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,drove,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,snapped,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,known,13
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,passed,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,knelt,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,brushed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,failed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,became,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,frightened,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,invented,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,helped,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,marveled,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,looking,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,misunderstood,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,forgot,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,imagine,8
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,missed,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,freezing,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,shaking,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,argue,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,indulged,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,neared,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,entered,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,used,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,choose,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,crossed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,bought,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stretched,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,laughed,11
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,trust,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ruin,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ﬁnd,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,entering,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,count,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,owned,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,burned,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,slapped,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,aufed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,refastened,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,placed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,celebrate,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,drink,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,eat,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,purchased,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sitting,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,drew,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pack,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,drawn,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,kissed,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,winked,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,grabbed,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hope,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,searched,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,waved,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,murmured,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wondering,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,dismissed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,reminded,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stricken,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,planned,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,moving,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,eyeing,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,burst,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,froze,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,spoke,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,gazed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,starting,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,promised,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hung,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,unwrapped,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sailing,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pestered,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pored,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,resolved,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,dwell,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,oohed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,needed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,crush,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,annoyed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,care,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,changed,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,mistook,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,miss,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,lacked,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wait,7
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,watch,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,grinned,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,holding,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,question,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,hoping,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,expect,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,function,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,mean,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,shrugged,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ﬁgured,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,clearing,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,rinsing,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,locked,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,suspect,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,regret,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wish,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,change,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wager,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,become,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ask,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,describe,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,sensed,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,enjoyed,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,take,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,cracked,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,rescued,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,returned,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,faked,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,pressed,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,happening,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,exchanged,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,faced,5
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,outgrown,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,fold,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,commented,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,stop,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,dominated,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,calling,1
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,gotten,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,reading,4
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,help,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,taken,6
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,begun,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,wandered,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,poured,2
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,ﬁlled,3
Bo_Caldwell,The_Distant_Land_of_My_Father,0,agent,talked,5
